ticker,name,run_date,prior_status,new_status,prior_score,new_score
DREAMFOLKS,Dreamfolks Services Ltd,2026-04-06,New,Watchlist,,66.38
BANKBARODA,Bank of Baroda,2026-04-06,New,Investable,,75.98
DEN,Den Networks Ltd,2026-04-06,New,Watchlist,,68.63
J&KBANK,Jammu and Kashmir Bank Ltd,2026-04-06,New,Watchlist,,62.76
RPPINFRA,RPP Infra Projects Ltd,2026-04-06,New,Investable,,72.93
TMPV,Tata Motors Passenger Vehicles Ltd,2026-04-06,New,Watchlist,,66.44
CANBK,Canara Bank,2026-04-06,New,Investable,,71.6
COALINDIA,Coal India Ltd,2026-04-06,New,Investable,,82.13
CHENNPETRO,Chennai Petroleum Corporation Ltd,2026-04-06,New,Watchlist,,51.86
KNRCON,KNR Constructions Ltd,2026-04-06,New,Watchlist,,65.19
DCMSRIND,DCM Shriram Industries Ltd,2026-04-06,New,Investable,,80.0
WSTCSTPAPR,West Coast Paper Mills Ltd,2026-04-06,New,Investable,,73.17
ORIENTPPR,Orient Paper & Industries Ltd,2026-04-06,New,Investable,,80.0
TREL,TransIndia Real Estate Ltd,2026-04-06,New,Watchlist,,62.36
JPOLYINVST,Jindal Poly Investment & Finance Company Ltd,2026-04-06,New,Investable,,74.28
RAYMOND,Raymond Ltd,2026-04-06,New,Watchlist,,61.38
JKPAPER,JK Paper Ltd,2026-04-06,New,Watchlist,,65.51
ZUARIIND,Zuari Industries Ltd,2026-04-06,New,Watchlist,,67.52
MGL,Mahanagar Gas Ltd,2026-04-06,New,Investable,,81.21
ALEMBICLTD,Alembic Ltd,2026-04-06,New,Investable,,78.28
RAJSREESUG,Rajshree Sugars & Chemicals Ltd,2026-04-06,New,Investable,,70.61
GANESHHOU,Ganesh Housing Ltd,2026-04-06,New,Investable,,88.24
DVL,Dhunseri Ventures Ltd,2026-04-06,New,Watchlist,,51.69
DHUNINV,Dhunseri Investments Ltd,2026-04-06,New,Watchlist,,56.14
VRAJ,Vraj Iron & Steel Ltd,2026-04-06,New,Watchlist,,65.23
DBCORP,D B Corp Ltd,2026-04-06,New,Investable,,77.29
NATIONALUM,National Aluminium Company Ltd,2026-04-06,New,Investable,,71.23
INDSWFTLAB,Ind-Swift Laboratories Ltd,2026-04-06,New,Avoid,,41.2
